GRZ,0.150,0.620,0.750,Train,377
RUS,-0.018,1.035,0.141,Train,378
GRZ,-0.033,0.796,0.687,Train,379
GRZ,0.506,1.002,-0.021,Train,380
RES,-0.086,0.987,0.259,Train,381
RUS,-0.061,1.003,0.168,Train,382
MOV,-0.126,0.878,0.557,Train,383
GRZ,0.328,0.921,-0.028,Train,384
RES,-0.212,0.757,0.675,Train,385
GRZ,0.214,0.304,0.909,Train,386
MOV,-0.369,1.034,0.177,Train,387
MOV,-0.229,0.919,0.040,Train,388
RES,-0.212,0.477,0.840,Train,389
RUS,0.141,1.101,0.266,Train,390
RUS,0.004,1.045,0.145,Train,391
ETC,-0.134,0.219,0.943,Train,392
RES,-0.094,0.979,0.318,Train,393
GRZ,0.488,0.835,0.096,Train,394
ETC,0.664,0.337,0.632,Train,395
RES,-0.029,1.005,0.232,Train,396
ETC,0.862,0.332,0.510,Train,397
GRZ,0.347,0.862,0.410,Train,398
GRZ,0.437,0.874,0.960,Train,399
RUS,-0.030,1.023,0.172,Train,400
RUS,-0.013,1.058,0.031,Train,401
RUS,-0.027,1.043,0.076,Train,402
RUS,-0.071,0.987,0.234,Train,403
RUS,0.000,1.016,0.151,Train,404
ETC,0.609,0.868,0.191,Train,405
MOV,0.141,0.897,0.105,Train,406
MOV,-0.221,1.117,0.239,Train,407
MOV,-0.104,0.851,0.561,Train,408
RES,-0.017,0.984,0.270,Train,409
RES,-0.006,0.995,0.186,Train,410
MOV,-0.297,0.978,0.116,Train,411
GRZ,0.303,0.756,0.823,Train,412
RUS,-0.039,1.042,0.165,Train,413
MOV,0.815,1.386,0.128,Train,414
RES,-0.212,1.028,0.135,Train,415
RUS,-0.047,1.058,0.069,Train,416
RES,0.013,1.024,0.188,Train,417
RES,-0.079,0.988,0.252,Train,418
RUS,-0.001,1.015,0.034,Train,419
ETC,0.011,1.094,0.036,Train,420
MOV,-0.323,0.362,0.722,Train,421
MOV,-0.103,0.865,0.419,Train,422
GRZ,0.070,0.387,0.559,Train,423
MOV,0.015,1.056,-0.026,Train,424
ETC,0.152,0.081,0.943,Train,425
MOV,-0.162,1.055,0.211,Train,426
ETC,0.215,0.602,0.776,Train,427
RES,-0.069,1.039,0.138,Train,428
MOV,0.026,1.735,0.267,Train,429
GRZ,0.244,0.926,-0.003,Train,430
ETC,-0.135,0.193,0.945,Train,431
RUS,-0.077,1.005,0.201,Train,432
ETC,0.880,-0.069,0.387,Train,433
RUS,-0.057,1.031,0.091,Train,434
GRZ,0.098,0.647,0.525,Train,435
RES,0.057,0.271,0.943,Train,436
GRZ,0.021,1.019,0.198,Train,437
MOV,-0.091,0.412,1.025,Train,438
RES,0.431,1.033,0.271,Train,439
RUS,-0.014,1.002,0.204,Train,440
RES,-0.017,0.788,0.632,Train,441
RUS,-0.001,1.045,0.066,Train,442
RUS,-0.017,0.992,0.161,Train,443
ETC,0.400,0.234,0.665,Train,444
RUS,-0.007,1.035,0.148,Train,445
RUS,-0.052,1.050,0.058,Train,446
RUS,-0.074,1.068,0.134,Train,447
RES,-0.007,0.955,0.214,Train,448
ETC,0.580,0.502,0.624,Train,449
ETC,0.011,1.114,0.069,Train,450
RUS,-0.020,1.015,0.161,Train,451
MOV,-0.143,0.642,0.630,Train,452
MOV,-0.079,0.471,0.836,Train,453
RUS,-0.022,1.024,0.148,Train,454
MOV,0.148,0.935,0.402,Train,455
GRZ,0.565,0.984,-0.132,Train,456
RES,0.006,1.017,0.166,Train,457
RUS,-0.044,1.016,0.156,Train,458
MOV,-0.274,0.776,0.934,Train,459
GRZ,0.160,0.699,0.802,Train,460
ETC,-0.010,1.033,0.190,Train,461
RUS,-0.038,1.011,0.211,Train,462
MOV,-0.045,0.898,0.148,Train,463
GRZ,0.177,0.786,0.878,Train,464
ETC,0.136,-0.014,0.973,Train,465
RUS,-0.060,1.009,0.184,Train,466
ETC,0.028,1.029,0.131,Train,467
RUS,-0.062,1.019,0.173,Train,468
RES,-0.050,0.851,0.574,Train,469
RUS,-0.054,1.026,0.153,Train,470
MOV,-0.316,0.909,0.480,Train,471
MOV,-0.083,0.822,0.959,Train,472
MOV,-0.011,0.606,0.730,Train,473
GRZ,0.286,0.502,0.811,Train,474
GRZ,0.254,0.889,0.793,Train,475
GRZ,0.430,0.976,-0.022,Train,476
GRZ,-0.001,0.689,0.743,Train,477
MOV,-0.211,0.558,0.739,Train,478
RES,0.068,0.404,0.889,Train,479
RES,0.003,1.027,0.154,Train,480
MOV,-0.224,0.645,0.726,Train,481
GRZ,0.128,0.780,0.685,Train,482
MOV,-0.138,0.384,1.083,Train,483
RUS,-0.021,0.878,0.526,Train,484
RUS,-0.001,1.027,0.168,Train,485
GRZ,0.097,0.506,0.919,Train,486
RES,-0.355,0.695,0.665,Train,487
